"title","author","rating","reviews","price","description","themes"
"Fractured Bonds: A why choose paranormal academy romance (Starfall Academy Book 3)","Lyra  Mishon","4.5 out of 5 stars","(38)","","Find one soul-bonded mate, lose another. It feels like the goddess is having a joke at my expense.Between an ugly hag of a sea witch and the worst mother-in-law a witch could ask for, my dreams of a quiet life have gone up in flames.There’s no time to get to know my vampire mate, or have cuddles with my bear and incubus. Or think of creative ways to exact revenge on the storm mage for being a complete d*ck.It’s lucky we have a new fae ally. Or so I thought until the slippery fu–sorry, kind-hearted member of the Autumn Court, scammed me into accepting a fae bargain.But unscrupulous fae deals are tomorrow’s problem.Right now, I have the mer queen’s banquet to attend, an evil crone to assassinate, and some school assignments to catch up on.Then there’s my demonic father, desperate for a fond family reunion…Thank the goddess I have Kenji, my loyal familiar, by my side to offer some much-needed emotional support.Oh wait…---Fractured Bonds is book three in the Starfall Academy series. It's a multi pov paranormal romance filled with chaos and banter, where the FMC has several love interests and doesn't have to choose between any of them - even if she'd quite like to get rid of at least ONE of them... There are some dark, angsty moments, but expect more fun and mischief from our cast of clowns, errr... characters!  Read more","paranormal"
"Wolves of Oakwood: Shifter Romance Collection","Vera Rivers","4.6 out of 5 stars","(545)","","The complete shifter romance series in one collection!Some rules are meant to be shattered. Some lines beg to be crossed.And fate? Fate plays for keeps.Big Bad Mate: A Forbidden Love Shifter RomanceI'm caught between the duty to my pack and my desire to claim her.Fated Enemy: An Enemies-to-Lovers Shifter RomanceWe’ve been enemies for as long as I can remember. But time is running out.Her Fake Mate: A Fake Relationship Shifter RomanceA fake relationship might be the answer to both our problems.Exiled Mate: A Second Chance Shifter RomanceI never gave up on her. But I might not be worthy of a second chance.Lost Fate: An Amnesia Shifter RomanceWaking up with no memory and a gorgeous stranger wasn't part of the plan.Fated Secret Baby: A Secret Baby Shifter RomanceA misunderstanding tore us apart years ago. Now fate has given us a second chance... if we're brave enough to take it.Off-Limits Mate: A Big Brother’s Best Friend Shifter RomanceMy brother's best friend is forbidden territory, but fate has other plans.Fated Guardian: A Bodyguard Shifter RomanceI was supposed to stay hidden, not fall into the arms of a wolf.  Read more","paranormal"
"Where Shadows Rest: Evermere Book Two","Mary Ann Weir","4.7 out of 5 stars","(113)","","Lunar witch Serafina Cimmerian never dreamed her life could be anything other than misery and pain. Enter three dhampirs who would burn the world down with a single word from their beloved. Seri and her husbands couldn’t be happier at Evermere, but her stepmother isn’t about to let her claim a future full of love and laughter. Enter Amabel and Eluned, twin menaces who each have their own ideas about how to show Seri where she truly belongs: On her belly at their feet. Too bad they don’t know the Cimmerians aren’t only monster hunters: They’re monsters themselves. Now Arabesque’s daughters are about to find out what happens when you go walking into the monsters’ den looking for trouble.Tropes:🔥 Dark Fairytale/Gothic Fantasy → A witch, three monster hunters, and an evil stepmother. Best. Romance. Ever.💍 Arranged Marriage/Forced Proximity/Marriage of Convenience → For one year only. Yeah, right.❤️ Polyfidelity → Three deadly husbands. One witchy wife. No picking necessary.🩸 Monster Hunters x Witch → They’re more comfortable with handguns than hearts...✨ Fated Mates/Soulbond → The moment she opens her eyes, they know she’s theirs.🔥 Spicy Burn → No closed doors or fade to black here.🔪 Overprotective/Touch Her and Die → She’s theirs to protect, and they have no mercy.🖤 Found Family → The kind you fight for. The kind you kill for.💔 Tragic Backstory → No one gets out of this world unscarred.😈 Morally Gray Male Leads → Heroes? No. Obsessed, lethal, and hers? Yes.✅ Safe Romance→ No betrayal, cheating, other man/woman, or love triangles here. Just green flag main characters with a hard-won happily ever after.  Read more","paranormal"
"Zodiac Academy 5: Cursed Fates","Caroline Peckham","4.5 out of 5 stars","(81,769)","","The stars have cursed us all. After the devastating events at Zodiac Academy, we have to deal with this hollow reality we're faced with. Lionel seeks to destroy us, the Nymphs seek to destroy the entire Fae race, and between all of it, we have to try and survive each day and prove our worth in this forsaken place. I'm afraid of everything falling apart, but it looks like it already has. Death lurks around every corner, and it wants to claim me and my sister. But together, we will overcome the darkness that seeks to defeat us. Because we were forged in fire. And these flames will never die.  Read more","paranormal"
"Undeniably His Mate","Roxie Ray","4.4 out of 5 stars","(1,043)","","The moment I scent her, everything in me goes still.Not because she’s beautiful—though she is.Not because she’s hurt—though the blood on her skin makes something savage in me rise.But because that blood carries a truth she doesn’t know:She’s not human. And she’s mine.She wakes afraid, confused, certain she’s just an ordinary woman who got caught in the wrong place at the wrong time.I wish she were.It would make protecting her easier.It would make walking away possible.But nothing about her is ordinary—not her scent, not her presence, not the way my wolf reacts when she looks at me.My pack feels it too.So do the ones hunting her.Someone wants her dead because of a past she can’t remember, a bloodline she doesn’t know she carries, and a legacy that should have died generations ago.I don’t know the full truth yet.I only know this:Whatever she is becoming, whoever she really is—I will protect her.This volume contains all four books in the Fated to Royalty series, bundled together for ease and continuity.Whether you’re discovering the series for the first time or returning to read it straight through, this edition lets you enjoy the entire story without interruption.  Read more","paranormal"
"Kiss of the Basilisk: A Split or Swallow Novel","Lindsay Straube","4.1 out of 5 stars","(28,201)","","From internet sensation Lindsay Straube comes the first in a searing romantasy series where survival demands submission, and desire is the most dangerous game of all.Temperance Verus has never been kissed—not exactly ideal for a girl competing in the palace's most closely watched matchmaking ritual. Every year, a select group is invited to bond with the realm's magical basilisks and train in the art of charm, poise, and influence. The prize? A chance to win the prince's favor—and a life of privilege.Tem expects rules, gowns, and etiquette.She doesn't expect her assigned partner to be Caspen—the Serpent King, commanding, mysterious, and anything but safe. As he pushes her to unlock the strength she never knew she had, Tem finds herself drawn into something deeper, stranger, and far more powerful than royal approval. But not all bonds are built for the court, and some secrets are meant to break them.Readers call it ""feral, spicy, and unforgettably bold."" For fans of morally grey monsters, slow-burn fantasy romance, and stories that subvert the fairytale script.  Read more","paranormal"
"Zodiac Academy 6: Fated Throne","Caroline Peckham","4.5 out of 5 stars","(80,023)","","Fate has torn us apart.Without my sister, the world seems darker than ever before and the shadows loom thicker, rising up to answer the call of the Shadow Princess and changing the face of Solaria for good.Now Lionel Acrux has the strength to make a move for the throne, I’m not sure how much time we have left to stop him.Our only hope is to find the Imperial Star before he does. We made the sacrifice the stars called for and we’re paying the price for that decision so it can’t be for nothing.But with the stars turning against us at every move, and the last light in the world seeming to fade, I’m afraid we’re almost out of time.Hope is a dangerous thing. It’s the key to us fighting on. But it could be what destroys us in the end.One thing is for certain, I won’t stop until I have been reunited with my other half and together we will fight to take our crowns.A war is coming.The throne is calling for a new monarch. And someone must answer its call.  Read more","paranormal"
"Cuddled by the Pack: Reverse Harem Shifter Romance","Ella Hartwell","4.3 out of 5 stars","(318)","","I charge $80 an hour for platonic, therapeutic cuddling. I didn’t charge extra for becoming the tactical obsession of a special-ops werewolf unit.My name is Carmen, and I’m a professional cuddler. No funny business—just holding lonely people so they feel human again. It’s a quiet job, until I get a group booking from ""The Triad.""I expected three nervous tech guys. I got three wall-to-wall muscles who look like they eat rocks for breakfast. They are a tactical mercenary team, lovers who have been fighting back-to-back for a decade. They claimed they needed grounding for ""combat stress.""The session was going fine. We were in a spoon train. I was the little spoon. Then, I made a mistake. I fell asleep. And apparently, my drool contains a specific enzyme that tells a werewolf, ""Target Acquired. Protect at all costs.""I woke up to find my windows reinforced with steel plating, a perimeter established in the hallway, and three very large men arguing over who gets to guard my shower.Beau: The Team Leader. He’s scary, scarred, and usually doesn't let anyone touch him. Now, he’s treating my apartment like a Forward Operating Base and looking at the mailman like he’s an assassin.Grady: The Sniper. Quiet, observant, and lethal. He realized first that the scent marking me as theirs is like a beacon to every rival pack in the city. He’s not just holding me; he’s calculating kill zones.Mitch: The Demolitions Expert. Loud, brash, and the golden retriever of the group. He’s moved his toothbrush into my bathroom, but he’s also wired the front door with C4 because ""you can never be too careful.""They were hired to take down a crime syndicate running the city's underground, but the mating bond has re-written their mission parameters. The syndicate knows the Triad has a weakness now, and they’re coming for me.My new boyfriends have decided the safest place for me is in the middle of their nest. And God help anyone who tries to breach the perimeter.Cuddled by the Pack is a steamy MMMF romance featuring a trapped heroine, three possessive wolves who refuse to share her with the world—but are more than happy to share her with each other.  Read more","paranormal"
"Zodiac Academy 7: Heartless Sky","Caroline Peckham","4.4 out of 5 stars","(65,029)","","The winds of fate are shifting.And it finally seems like they’ve been twisted in our favour.On the run and cast out from society, we’ve been forced to hide from the mad man who stole our throne. But as more secrets come to light and my sister and I work harder than ever before to reach our potential and claim our birth right, the end is finally drawing closer.There is no turning from this path now. The curse chases on our heels as time rushes by and the blood drenched destiny of the man I love looms ever closer just like the monster who stole our throne.We must prepare for the final battle, but three things are clear now.The cards have already been dealt.Blood will spill for a new future to rise.And the stars themselves can’t help us.The fight for the throne is upon us. All hail the heartless sky.  Read more","paranormal"
"And Dawns Endure: Evermere Book Three","Mary Ann Weir","4.8 out of 5 stars","(15)","","Lunar witch Serafina Cimmerian has finally regained her magic power. Now it’s time to show her dhampir, monster-hunting husbands what she’s capable of. As for her evil stepmother, Arabesque Harrow has already stolen too much from her, and Seri will not let the Dark witch claim one more person she loves, no matter what it costs to keep her family safe.Includes a bonus short story!Tropes:🔥 Dark Fairytale/Gothic Fantasy → A witch, three monster hunters, and an evil stepmother. Best. Romance. Ever.💍 Arranged Marriage/Forced Proximity → For one year only. Yeah, right.❤️ Polyfidelity → Three deadly husbands. One witchy wife. No picking necessary.🩸 Monster Hunters x Witch → They’re more comfortable with handguns than hearts...✨ Fated Mates/Soulbond → The moment she opens her eyes, they know she’s theirs.🔥 Hot, Hot, Hot → No closed doors or fade to black here.🔪 Overprotective/Touch Her and Die → She’s theirs to protect, and they have no mercy.🖤 Found Family → The kind you fight for. The kind you kill for.💔 Tragic Backstory → No one gets out of this world unscarred.😈 Morally Gray Male Leads → Heroes? No. Obsessed, lethal, and hers? Yes.✅ Safe Romance→ No betrayal, cheating, other man/woman, or love triangles here. Just green flag main characters with a hard-won happily ever after.⚡ Magic Awakening → What happens when she gets her magic back? A reckoning, that’s what.  Read more","paranormal"
"Destined Mate (Twisted Fate Trilogy Book 1)","Jen L. Grey","4.5 out of 5 stars","(11,133)","","Fate stripped everything from me and forced me to face my worst nightmare.As the adopted and weakest member of my pack, I’ve always been an outcast and mistreated, especially since I've never been able to shift into my animal form.Every time I try to find a way to escape my personal hell, my pack leader stops me, vowing that I'll never be free from him.Then the worst happens.A group of my pack members attack me.Alone, outnumbered, and stuck in my human form, I'll fight for my life even though there’s no hope for survival.Until a group of unfamiliar wolves come to my aid.The sexiest and strongest of them, Bodey, is adamant to protect me.And something inside me tugs toward him almost unnaturally.But it turns out things aren't what they seem.There might be something more to my past than I knew . . . and Bodey might be the very person I need protecting from.Get this steamy and suspenseful forced proximity, touch her and unalive, broody male, fated mates, royal wolf shifter romance today!  Read more","paranormal"
"bite: a dark modern vampire romance","C.J. Primer","4.4 out of 5 stars","(805)","","I was running out of options. Jobless, hungry, and exhausted, with no clue what to do next.Then help came in the form of a business card.Bite: an underground blood agency matching consenting donors with vampires willing to pay a premium for live feedings.One bite may not be so bad. It could fix a lot of my problems.But then one bite turns into two, and the next thing I know I’m standing at a donor gala, catching the eye of the most powerful man in the room.James Devereaux, vampire king of the Northeast. A vamp who never drinks from the same human twice.Until me.He offers a deal I can’t refuse: a year as his exclusive donor in exchange for enough money to set me up for life.There’s just one catch– it isn’t only my blood he wants.Bite is a dark modern vampire romance that includes scenes and situations that may be triggering for some readers. If you’re unsure or unfamiliar with dark romance, please review the full list of trigger warnings inside this book before reading. This standalone novel has no cliffhangers and guarantees a happily-ever-after (HEA) for the main characters.  Read more","paranormal"
"The Alpha King's Queen: A Rejected Mate Werewolf Romance","Eloise Benjamin","4.5 out of 5 stars","(3,957)","","Gathering of the Eastern Packs. A mandate I cannot refuse. And one that changes my life forever.AvaI’m a rogue. Happily have been since the age of eighteen when my mate, and the Alpha of my old pack, rejected me.Living amongst the humans for the last nine years with my bestie and staying far away from the werewolf world that showed me nothing but abuse and heartache changes with one event and one sniff.The King of the Werewolves, my second chance fated mate… strong, dominant, and the sexual tension between us is off the charts.But with wet panties comes the bubbling up of long-hidden secrets and a man I would rather forget, The Butcher. I have something he wants, and he will stop at nothing to get it.BraidenAt thirty-four years old and still, with no fated mate in sight, I have finally chosen my Queen, a carbon copy of my mother.Until I scent her.My mate, the white wolf, is an exact match to my black one. She just has to realize it.My Queen wants none of this world, her past standing in our way, along with secrets that reveal our connection long before now.With every fiery interaction, I can feel her resistance crumbling. Soon, she will see that there is no escape.She is mine. She is The Alpha King’s Queen.Publisher’s Note: The Alpha King’s Queen is a stand-alone book, HEA guaranteed.  Read more","paranormal"
"The Ice Tyrant's Fated Mate (Hollow Earth Ice Dragons Book 1)","Riley Storm","4.5 out of 5 stars","(351)","","In the Ice Kingdom the strong rule, and the weak end up in cages.At the top are the Elites, cruelest and most powerful of all dragons. Below everyone else are my besties and I. The Wing-Clipped. Dragons too weak to shift or be claimed by a mate. We’re who the cages and illegal markets were made for.Until the man with green eyes who smells like forever awakens my dormant dragon. It should be impossible. It is impossible. Because Clippys don’t have fated mates. Ever. Everyone knows that.Everyone except my dragon. She’s staking this one out as hers, and she doesn’t care what he or I think. It only gets worse when I discover who she calls our mate.Somehow she’s decided the Ice Tyrant is all ours. The strongest, most ruthless dragon in Hollow Earth … and me?Never gonna happen.Even if I had a dragon to shift into, and even if I could claim another as my mate, it would never be him.Not just because it’s his kingdom and his rules that put me in this cage. But because he left me to rot in it…CasimirMy kingdom isn’t ready for me to claim her. I am. Civil war and threats to my throne? That's nothing compared to bonding with my mate. I’ll destroy anyone who threatens her or our future.But before we can have eternity, I'll have to win her over and show her I’m not what the legends say. Somehow.Because hiding at the center of every rumor, there’s a dark truth…***The Ice Tyrant’s Fated Mate is a full-bodied shifter romance with a HEA, perfect for fans of:Fated Mates (But not insta-love)Dragon ShiftersIYTHIKY Protective Alpha vibesA generous helping of growlsA dash of forbidden romanceA hint of dragon kingdoms  Read more","paranormal"
"Chased by My Grumpy Alpha: A Forbidden Runaway Mate Grumpy Sunshine Forced Proximity Paranormal Werewolf Romance","Jaymin Snow","4.5 out of 5 stars","(1,324)","","A runaway bride.A cold wolf guard who kept me alive.Until I discovered he was the prince sent to hunt me—my fated mate.AstraThey called me disposable.Forced me into a mating I never wanted.So I ran—straight into the arms of a cold wolf guard.Silent. Dangerous. Untouchable.He saved me. Protected me. Stayed far too close.And when blood spilled, his wolf snapped.That’s when I learned the truth.He isn’t my protector.He’s the deadly prince sent to hunt me.And worse… he’s my fated mate.LucianLove was never mine to want.My life was duty—a throne, a political marriage, a kingdom waiting to chain me.Then I was sent to hunt down her.Small. Stubborn. Reckless.She should’ve been forgettable.Instead, she made me fall.Now nothing else matters.Not the crown. Not the council. Not the enemies waiting.She’s mine.And I’d burn the kingdom to ash before anyone else touches her.One-click now to dive into a world of royal intrigue, forbidden love, and fated bonds that defy all odds!⭐⭐⭐⭐⭐Perfect For Readers Who Love:✔️ Runaway brides and forbidden love✔️ Fated mates with a deadly twist✔️ Cold, duty-bound Alpha heirs who fall for the one they’re supposed to hunt✔️ Tense, slow-burn romance with sizzling chemistry⭐⭐⭐⭐⭐Each book in this series delivers intense, slow-burn romance, powerful fated mates, and heroes who will stop at nothing to claim their love.  Read more","paranormal"
